graph_id,n,vertex,coverage_fraction
n200_s200058,200,146,1.0
n200_s200058,200,21,1.0
n200_s200067,200,87,1.0
n200_s200067,200,42,0.99
n200_s200067,200,26,1.0
n200_s200067,200,5,0.995
n200_s200067,200,25,0.99
n200_s200067,200,18,1.0
n200_s200067,200,91,0.995
n200_s200067,200,114,1.0
n200_s200067,200,171,0.995
n200_s200067,200,135,0.985
n200_s200067,200,11,0.995
n200_s200067,200,191,0.97
n200_s200067,200,88,1.0
n200_s200067,200,154,1.0
n200_s200067,200,13,0.995
n200_s200067,200,182,1.0
n200_s200067,200,1,0.995
n200_s200067,200,104,0.98
n200_s200067,200,3,1.0
n200_s200067,200,175,1.0
n200_s200068,200,7,1.0
n200_s200068,200,176,1.0
n200_s200068,200,152,1.0
n200_s200068,200,33,1.0
n200_s200068,200,94,1.0
n200_s200068,200,118,0.98
n200_s200068,200,48,1.0
n200_s200068,200,174,0.995
n200_s200068,200,177,1.0
n200_s200068,200,59,1.0
n200_s200068,200,9,1.0
n200_s200068,200,75,0.995
n200_s200068,200,4,1.0
n200_s200068,200,35,0.985
n200_s200068,200,96,1.0
n200_s200068,200,44,0.98
n200_s200068,200,62,1.0
n200_s200068,200,151,1.0
n200_s200068,200,86,0.975
n200_s200068,200,67,1.0
n200_s200076,200,197,1.0
n200_s200076,200,34,1.0
n200_s200076,200,18,1.0
n200_s200076,200,33,1.0
n200_s200076,200,73,1.0
n200_s200076,200,138,1.0
n200_s200076,200,196,1.0
n200_s200076,200,36,1.0
n200_s200076,200,60,1.0
n200_s200076,200,30,1.0
n200_s200076,200,8,1.0
n200_s200076,200,161,1.0
n200_s200076,200,50,0.995
n200_s200076,200,12,1.0
n200_s200076,200,167,1.0
n200_s200076,200,132,1.0
n200_s200076,200,88,1.0
n200_s200076,200,71,1.0
n200_s200076,200,61,0.995
n200_s200076,200,130,0.99
n200_s200084,200,52,0.995
n200_s200084,200,193,0.99
n200_s200084,200,18,0.955
n200_s200084,200,172,0.995
n200_s200084,200,21,0.985
n200_s200084,200,11,1.0
n200_s200084,200,97,0.985
n200_s200084,200,10,1.0
n200_s200084,200,60,1.0
n200_s200084,200,55,0.99
n200_s200084,200,89,0.995
n200_s200084,200,62,0.995
n200_s200084,200,157,0.975
n200_s200084,200,23,1.0
n200_s200084,200,43,1.0
n200_s200084,200,84,0.995
n200_s200084,200,37,0.99
n200_s200084,200,199,1.0
n200_s200084,200,87,0.995
n200_s200084,200,65,1.0
n200_s200094,200,73,0.995
n200_s200094,200,2,1.0
n200_s200094,200,100,1.0
n200_s200094,200,96,0.945
n200_s200094,200,170,1.0
n200_s200094,200,186,1.0
n200_s200094,200,3,1.0
n200_s200094,200,56,0.995
n200_s200094,200,171,1.0
n200_s200094,200,152,1.0
n200_s200094,200,23,1.0
n200_s200094,200,27,1.0
n200_s200094,200,109,1.0
n200_s200094,200,48,1.0
n200_s200094,200,140,0.99
n200_s200094,200,43,0.995
n200_s200094,200,101,1.0
n200_s200094,200,65,1.0
n200_s200094,200,19,1.0
n200_s200094,200,47,1.0
n200_s200099,200,55,1.0
n200_s200099,200,69,0.995
n200_s200099,200,160,0.995
n200_s200099,200,12,1.0
n200_s200099,200,158,0.995
n200_s200099,200,153,0.995
n200_s200099,200,41,0.995
n200_s200099,200,141,1.0
n200_s200099,200,82,0.99
n200_s200099,200,182,1.0
n200_s200099,200,89,1.0
n200_s200099,200,161,1.0
n200_s200099,200,77,1.0
n200_s200099,200,62,0.995
n200_s200099,200,95,1.0
n200_s200099,200,86,0.995
n200_s200099,200,20,1.0
n200_s200099,200,84,1.0
n200_s200099,200,110,1.0
n200_s200099,200,105,1.0
n500_s500000,500,364,0.9799196787148594
n500_s500000,500,182,0.9799196787148594
n500_s500000,500,272,0.9839357429718876
n500_s500000,500,366,0.9738955823293173
n500_s500000,500,176,0.9819277108433735
n500_s500000,500,79,0.9819277108433735
n500_s500000,500,96,1.0
n500_s500000,500,274,0.9839357429718876
n500_s500000,500,77,0.9879518072289156
n500_s500000,500,350,0.9959839357429718
n500_s500000,500,347,0.9337349397590361
